iter	Passed	Remaining
0	8	1640
1	11	1112
2	13	905
3	17	849
4	20	813
5	24	781
6	26	735
7	29	700
8	38	813
9	42	804
10	45	789
11	55	876
12	62	892
13	77	1028
14	86	1063
15	90	1044
16	94	1018
17	106	1073
18	110	1049
19	115	1041
20	119	1018
21	121	986
22	124	955
23	132	969
24	135	947
25	149	1000
26	154	989
27	157	967
28	171	1010
29	175	991
30	180	984
31	183	962
32	185	940
33	194	951
34	197	932
35	199	910
36	203	894
37	208	887
38	225	930
39	230	921
40	233	906
41	236	888
42	239	874
43	242	858
44	244	842
45	248	831
46	253	824
47	256	811
48	267	823
49	270	810
50	273	799
51	277	789
52	285	792
53	290	784
54	303	801
55	306	788
56	316	793
57	318	779
58	320	767
59	326	762
60	330	752
61	333	743
62	336	730
63	338	718
64	346	720
65	349	709
66	352	699
67	354	687
68	366	695
69	368	685
70	373	677
71	377	670
72	380	661
73	382	651
74	385	642
75	388	633
76	392	626
77	395	618
78	399	611
79	401	602
80	428	629
81	431	620
82	441	622
83	444	613
84	448	606
85	456	604
86	459	597
87	462	588
88	469	585
89	472	577
90	478	573
91	489	575
92	493	567
93	496	559
94	498	550
95	506	549
96	509	540
97	513	534
98	520	531
99	523	523
100	525	515
101	527	506
102	529	498
103	539	497
104	541	490
105	554	491
106	557	484
107	559	476
108	561	469
109	565	462
110	568	455
111	571	449
112	574	441
113	576	435
114	583	431
115	587	425
116	590	418
117	593	412
118	602	410
119	605	403
120	608	397
121	613	392
122	616	385
123	618	379
124	621	372
125	625	367
126	633	364
127	636	358
128	639	351
129	651	351
130	655	345
131	657	338
132	661	333
133	665	327
134	667	321
135	669	315
136	677	311
137	680	305
138	683	300
139	685	293
140	686	287
141	696	284
142	697	278
143	699	272
144	701	266
145	703	260
146	706	254
147	710	249
148	713	244
149	715	238
150	717	232
151	724	228
152	726	223
153	728	217
154	729	211
155	731	206
156	733	200
157	738	196
158	742	191
159	744	186
160	745	180
161	747	175
162	749	170
163	755	165
164	761	161
165	763	156
166	765	151
167	769	146
168	771	141
169	773	136
170	780	132
171	783	127
172	784	122
173	786	117
174	788	112
175	789	107
176	793	103
177	797	98
178	800	93
179	801	89
180	803	84
181	804	79
182	812	75
183	814	70
184	816	66
185	818	61
186	819	56
187	821	52
188	831	48
189	833	43
190	835	39
191	838	34
192	841	30
193	844	26
194	846	21
195	847	17
196	849	12
197	850	8
198	852	4
199	859	0
